TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
BPYU;18,52;;-0,83;0,44;0,03;57,68;-4,09;-57,47;-11,61;-274,32;-262,70;9,86;0,48;;-0,03;;-52,70;-4,04;-0,55;0,08;0,88;0,07;-8,65;;;42,49;-22,39;0,00;710.173.476,00
BPYUP;25,20;;-1,13;0,59;0,05;57,68;-4,09;-57,47;-15,80;-274,32;-262,70;9,86;0,65;;-0,05;;-52,70;-4,04;-0,55;0,08;0,88;0,07;-8,65;;;42,49;-22,39;0,00;710.173.476,00
BRG;26,60;;18,42;16,07;0,31;63,36;34,40;18,88;10,11;22,56;12,45;19,78;3,48;;-0,31;;87,20;1,67;5,39;0,02;0,59;0,09;22,09;;;1,66;1,44;-17,60;813.284.360,00
BRMK;4,83;;-4,90;0,69;0,61;100,00;-482,36;-516,72;-5,25;-5,73;-0,48;0,06;25,31;;-0,61;;-14,13;-12,50;-11,92;0,88;0,12;0,02;-13,38;;;6,98;-0,99;0,02;636.353.949,00
BRSP;5,18;9,20;-3,16;0,66;0,19;69,47;86,02;-187,03;6,87;27,56;20,69;1,98;5,91;;-0,19;;-20,84;-6,07;2,90;0,29;0,71;0,03;-14,95;;;7,93;-1,65;-0,06;681.011.640,00
BRT;15,84;4,69;-42,29;1,52;0,43;100,00;14,40;-7,51;22,06;55,32;33,26;2,30;3,18;;-0,43;;-3,60;-1,01;1,97;0,28;0,72;0,14;27,84;;;10,50;-0,38;0,32;302.066.744,00
BRX;26,17;2,14;24,96;2,71;0,93;75,22;41,32;24,58;14,85;24,13;9,29;1,69;6,14;;-0,93;;10,84;3,72;6,68;0,34;0,66;0,15;1,92;4,31;;9,65;1,05;1,83;7.991.229.211,00
BXMT;19,59;4,79;-41,76;0,91;0,17;0,00;66,71;-4,84;3,03;2,43;-0,60;-0,18;2,02;;-0,17;;-2,19;-0,40;30,13;0,18;0,82;0,08;15,10;;;21,46;-0,47;0,02;3.366.403.524,00
BXP;67,91;4,33;-2.422,72;2,02;0,42;60,94;31,33;-0,13;9,99;24,45;14,47;2,93;3,13;;-0,42;;-0,08;-0,02;5,04;0,21;0,79;0,13;2,85;-51,11;;33,60;-0,03;23,68;10.742.324.110,00
CCI;101,95;4,63;-9,45;-35,27;1,39;71,71;-45,25;-71,80;-14,99;-23,18;-8,19;;6,78;-23,70;-1,44;0,37;-373,34;-14,73;-12,85;-0,04;1,04;0,21;2,65;;;-2,88;-10,74;0,02;44.194.713.612,00
CDR;29,00;;-0,01;0,89;0,38;58,36;-364,13;-527,89;-0,01;-0,03;-0,02;1,20;0,05;;-0,38;;-10.289,13;-4.439,26;-3.220,29;0,43;0,57;8,41;-3,33;;;32,53;-3.347,28;0,00;393.103.700,00
CHCT;17,27;8,10;-92,91;1,06;0,50;80,14;16,94;-4,51;24,73;49,74;25,01;1,07;4,19;;-0,50;;-1,14;-0,53;2,06;0,47;0,53;0,12;13,73;;;16,28;-0,19;0,72;488.260.294,00
CHMI;2,82;15,85;-10,06;0,41;0,06;73,55;110,47;-19,79;1,80;-22,35;-24,15;-5,49;1,99;;-0,06;;-4,07;-0,64;12,64;0,16;0,84;0,03;-7,98;;;6,94;-0,28;-0,15;92.749.856,00
CIM;14,31;7,76;7,88;0,44;0,09;100,00;265,09;54,74;1,63;5,67;4,04;1,09;4,31;;-0,09;;5,56;1,11;12,30;0,20;0,80;0,02;-15,63;-15,70;;32,65;1,82;0,99;1.157.881.010,00
CIO;5,56;5,37;-12,03;0,31;0,16;59,74;9,70;-11,11;13,77;51,38;37,62;0,85;1,34;;-0,16;;-2,58;-1,31;1,19;0,51;0,49;0,12;1,83;;;17,98;-0,46;-0,03;225.602.338,00
CLDT;7,17;3,21;50,52;0,47;0,29;42,94;13,06;2,19;8,47;17,05;8,58;0,47;1,11;;-0,29;;0,92;0,57;3,65;0,62;0,38;0,26;-0,69;-19,41;;15,41;0,14;0,13;351.216.714,00
CLI;18,35;;-62,91;1,28;0,37;76,04;-7,77;-8,36;-67,74;-163,38;-95,64;1,80;5,26;;-0,37;;-2,03;-0,58;-0,66;0,29;0,60;0,07;-12,02;;;14,36;-0,29;0,66;1.671.382.225,00
CLNC;10,32;;-2,93;0,86;0,22;43,42;-47,68;-322,28;-19,84;-73,24;-53,41;2,30;9,46;;-0,22;;-29,14;-7,34;-1,45;0,25;0,75;0,02;9,43;;;12,07;-3,52;0,00;1.330.917.768,00
CLNY;8,50;;-0,49;0,19;0,07;65,74;-147,61;-222,45;-0,74;-4,54;-3,79;0,99;1,10;1,60;-0,08;1,65;-39,38;-13,62;-12,42;0,35;0,65;0,06;9,25;;;43,68;-17,20;0,00;1.359.110.050,00
CLPR;3,71;5,05;-4,09;-3,02;0,05;56,75;5,17;-9,73;7,71;165,48;157,77;;0,40;;-0,05;;-73,90;-1,18;0,62;-0,02;1,02;0,12;5,07;;;-1,24;-0,92;-0,02;60.710.840,00
CMCT;8,70;1,44;-0,24;0,02;0,01;39,88;8,29;-22,44;0,64;46,15;45,51;1,58;0,05;;-0,01;;-9,40;-3,12;1,18;0,33;0,64;0,14;-2,32;;;388,34;-36,52;0,01;6.542.382,00
CMCTP;28,10;;-0,77;0,07;0,02;39,88;8,29;-22,44;2,08;46,15;45,51;1,58;0,17;;-0,02;;-9,40;-3,12;1,18;0,33;0,64;0,14;-2,32;;;388,34;-36,52;0,02;6.542.382,00
CMO;6,50;;9,33;0,72;0,08;100,00;121,01;73,55;5,67;66,03;60,36;7,68;6,86;;-0,08;;7,73;0,86;1,43;0,11;0,89;0,01;-12,46;;;9,01;0,70;-0,06;629.691.400,00
COLD;16,85;3,97;-39,88;1,51;0,61;32,00;0,34;-4,58;529,58;932,44;402,86;1,15;1,83;;-0,61;;-3,77;-1,54;0,02;0,41;0,59;0,34;8,37;;;11,21;-0,42;0,63;4.803.320.872,00
CONE;90,36;;468,41;4,05;1,59;55,95;7,05;2,10;139,42;179,79;40,38;1,17;9,83;-44,32;-1,77;0,74;0,87;0,34;1,19;0,39;0,61;0,16;17,91;4,92;;22,29;0,19;-12,04;11.850.659.784,00
COR;299,82;0,54;34,26;57,27;0,81;3,39;0,80;0,55;23,33;25,69;2,36;5,80;0,19;-8,54;-2,35;0,87;167,19;2,38;21,31;0,01;0,99;4,36;248,39;81,87;;5,23;8,74;-3,99;58.009.435.315,00
CORR;0,01;;-0,01;0,00;0,00;46,28;4,85;-10,77;0,02;33,40;33,38;1,98;0,00;;0,00;;-13,18;-3,00;1,83;0,23;0,77;0,28;8,53;;;6,85;-0,90;0,00;160.376,00
CPLG;15,98;;-33,36;1,06;0,61;17,49;-0,65;-6,05;-311,32;-437,32;-126,00;0,43;2,02;;-0,61;;-3,19;-1,83;-0,42;0,57;0,43;0,30;;;;15,01;-0,48;0,37;933.952.698,00
CPT;114,12;2,73;103,11;2,64;1,36;61,47;16,64;7,58;46,98;61,23;14,25;0,80;7,82;;-1,36;;2,56;1,31;3,08;0,51;0,49;0,17;8,38;-6,10;;43,20;1,11;-1,41;12.190.215.800,00
CTO;17,55;6,50;-62,14;0,97;0,46;73,87;13,16;-7,04;33,22;66,94;33,73;0,99;4,37;;-0,46;;-1,57;-0,75;1,44;0,48;0,52;0,11;22,61;;;18,03;-0,28;0,47;578.003.985,00
CTRE;31,31;2,92;37,04;2,05;1,55;94,62;77,21;65,80;31,57;32,56;1,00;0,06;24,37;;-1,55;;5,54;4,17;5,07;0,75;0,24;0,06;7,49;21,96;;15,27;0,85;0,24;6.005.616.370,00
CTT;10,37;;9,18;2,54;0,99;52,76;72,43;59,22;7,50;11,39;3,89;1,32;5,43;;-0,99;;27,70;10,81;13,63;0,39;0,61;0,18;4,53;;;4,08;1,13;-0,01;510.983.824,00
CUBE;43,08;2,39;25,51;3,46;1,46;69,97;44,91;35,80;20,34;27,40;7,06;1,20;9,13;;-1,46;;13,57;5,72;7,71;0,42;0,57;0,16;10,61;16,76;;12,48;1,69;-3,01;9.843.053.720,00
