TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
TRMT;5,22;;6,68;0,48;0,18;;;;3,88;3,13;-0,75;-0,09;;;-0,18;;7,23;2,63;12,33;0,36;0,64;0,00;;;;10,81;0,78;-0,55;43.390.206,00
TRNO;57,25;2,57;30,03;1,51;1,20;74,03;53,96;47,97;26,70;29,54;2,84;0,16;14,41;;-1,20;;5,02;3,99;4,71;0,79;0,21;0,08;17,47;27,15;;37,90;1,90;1,52;5.877.566.508,00
TRTX;7,99;5,98;11,34;0,58;0,16;100,00;575,50;126,19;2,49;1,20;-1,29;-0,30;14,30;;-0,16;;5,13;1,43;22,74;0,28;0,72;0,01;91,20;-10,06;;13,82;0,71;-0,07;641.254.922,00
TWO;10,32;8,71;-133,60;0,50;0,08;;;;1,71;2,50;0,79;0,23;;;-0,08;;-0,37;-0,06;17,80;0,16;0,84;0,00;;-1,65;;20,64;-0,08;1,42;1.074.579.283,00
UBA;21,16;;32,58;1,48;0,84;66,54;37,89;17,63;15,16;21,06;5,90;0,58;5,74;;-0,84;;4,55;2,59;6,11;0,57;0,37;0,15;2,98;-5,59;;14,27;0,65;-1,44;832.235.496,00
UBP;21,22;;32,67;1,49;0,85;66,54;37,89;17,63;15,20;21,06;5,90;0,58;5,76;;-0,85;;4,55;2,59;6,11;0,57;0,37;0,15;2,98;-5,59;;14,27;0,65;-1,44;832.235.496,00
UDR;41,26;2,06;114,37;4,10;1,27;65,39;19,50;7,11;41,72;59,52;17,79;1,75;8,14;;-1,27;;3,59;1,11;3,56;0,31;0,59;0,16;7,73;-13,50;;10,05;0,36;-1,57;13.672.577.666,00
UHT;41,36;5,29;30,80;3,35;1,00;94,40;36,95;19,01;15,84;25,79;9,94;2,10;5,85;;-1,00;;10,87;3,26;6,73;0,30;0,70;0,17;5,11;0,28;;12,43;1,35;2,02;576.222.400,00
UMH;17,23;3,74;107,13;1,59;0,94;54,95;21,97;5,55;27,06;37,90;10,84;0,64;5,94;;-0,94;;1,48;0,87;3,51;0,59;0,41;0,16;10,41;-5,03;;10,85;0,16;0,41;1.451.139.678,00
UNIT;4,36;;16,98;-0,43;0,20;100,00;48,85;5,30;1,84;12,05;10,21;;0,90;;-0,20;;-2,56;1,18;15,69;-0,46;1,46;0,22;1,99;54,58;;-9,93;0,25;0,06;1.057.904.154,00
VER;50,30;;51,85;1,83;0,92;89,60;40,92;19,16;24,28;26,51;2,23;0,17;9,93;;-0,92;;3,53;1,77;6,38;0,50;0,50;0,09;-4,22;;;27,47;0,97;-1,83;11.526.224.880,00
VICI;33,25;3,90;13,35;1,32;0,77;100,00;90,42;67,81;10,01;14,72;4,70;0,62;9,05;;-0,77;;9,89;5,78;8,06;0,58;0,42;0,09;33,88;37,45;;25,18;2,49;7,25;35.146.078.146,00
VNO;37,41;1,98;59,87;1,35;0,46;48,90;30,06;6,60;13,15;25,96;12,82;1,31;3,95;;-0,46;;2,25;0,77;3,98;0,34;0,61;0,12;-1,47;-53,09;;27,69;0,62;0,73;7.165.463.636,00
VTR;63,24;2,18;200,61;2,49;1,10;42,33;13,84;2,81;40,79;58,59;17,79;1,09;5,65;;-1,10;;1,24;0,55;2,71;0,44;0,55;0,19;4,80;-29,93;;25,41;0,32;-0,46;28.554.064.738,00
WELL;154,32;1,31;92,83;2,96;1,89;37,31;13,92;13,06;87,06;97,56;10,50;0,36;12,12;;-1,89;;3,19;2,03;2,31;0,64;0,36;0,16;8,87;-3,73;;51,93;1,66;0,65;100.486.202.856,00
WHLR;6,04;;-0,95;-0,12;0,00;66,05;44,14;-2,72;0,06;9,77;9,71;;0,03;;0,00;;-12,75;-0,45;9,74;-0,04;0,91;0,16;10,61;;;-50,13;-6,39;0,01;2.671.683,00
WHLRD;33,66;;-5,28;-0,67;0,02;66,05;44,14;-2,72;0,33;9,77;9,71;;0,14;;-0,02;;-12,75;-0,45;9,74;-0,04;0,91;0,16;10,61;;;-50,13;-6,39;0,04;2.671.683,00
WHLRP;3,52;;-0,55;-0,07;0,00;66,05;44,14;-2,72;0,03;9,77;9,71;;0,02;;0,00;;-12,75;-0,45;9,74;-0,04;0,91;0,16;10,61;;;-50,13;-6,39;0,00;2.671.683,00
WMC;9,15;;-1,29;0,62;0,02;;;;0,54;19,10;18,56;21,55;;;-0,02;;-48,36;-1,88;4,86;0,04;0,96;0,00;;;;14,66;-7,09;0,04;55.353.840,00
WPC;63,15;4,20;32,30;1,65;0,80;88,85;46,13;26,66;18,67;28,64;9,97;0,88;8,61;;-0,80;;5,11;2,47;4,34;0,48;0,52;0,09;5,13;8,59;;38,19;1,95;-1,27;13.804.259.648,00
WPG;0,83;;-0,07;0,05;0,01;58,45;-26,37;-55,13;-0,14;-7,32;-7,18;2,30;0,04;;-0,01;;-66,82;-7,43;-9,19;0,11;0,89;0,13;-10,66;;;18,33;-12,25;0,00;20.301.468,00
WRI;31,44;;45,88;2,49;1,03;64,97;32,00;19,72;28,28;40,47;12,20;1,07;9,05;;-1,03;;5,42;2,25;4,15;0,41;0,59;0,11;-3,29;3,64;;12,64;0,69;-0,76;4.017.554.112,00
WSR;12,64;2,35;20,53;1,49;0,57;69,92;42,37;20,15;9,76;19,42;9,65;1,47;4,14;;-0,57;;7,25;2,77;6,03;0,38;0,62;0,14;5,29;9,27;;8,47;0,61;0,77;641.793.516,00
WY;26,19;2,33;52,09;1,97;1,15;18,23;9,31;5,15;28,81;35,79;6,98;0,48;2,68;21,05;-1,29;2,04;3,78;2,21;4,27;0,58;0,42;0,43;1,68;;;13,29;0,50;-0,96;19.012.580.200,00
XAN;4,34;;-0,17;0,12;0,02;94,60;13,85;-353,64;4,30;153,69;149,39;4,16;0,60;;-0,02;;-71,03;-12,47;0,49;0,18;0,82;0,04;-6,24;-3,96;;36,28;-25,77;0,00;38.012.324,00
XHR;12,99;2,93;55,24;1,06;0,44;59,82;9,65;2,19;12,51;24,78;12,27;1,04;1,21;-0,99;-0,50;0,21;1,92;0,80;3,73;0,42;0,58;0,37;-1,99;-21,86;;12,25;0,23;6,57;1.281.166.238,00
