ticker;preco;dy;pl;pvp;roe;roa;roic;margem_bruta;margem_ebit;margem_liquida;liquidez_corrente;vpa;lpa;liquidez_diaria;valor_mercado
LUXM3;0,00;;0,0;0,0;23,24;16,47;5,48;29,34;14,77;26,99;1,41;3,78;0,88;;106.414.560,00
LUXM4;4,59;;5,23;1,21;23,24;16,47;5,48;29,34;14,77;26,99;1,41;3,78;0,88;6.151,88;106.414.560,00
LVTC3;3,71;5,12;7,34;0,36;4,84;2,13;8,06;27,19;8,17;3,81;1,76;10,45;0,51;501.572,09;235.442.027,73
LWSA3;3,65;1,96;63,5;0,75;1,19;0,81;3,51;47,56;8,74;2,33;1,17;4,83;0,06;26.340.573,68;2.065.897.101,90
MAPT3;3,05;;-15,83;-0,44;-2,77;-22,9;2,75;;;;0,0;-6,96;-0,19;305,00;3.420.334,95
MAPT4;4,38;;-22,74;-0,63;-2,77;-22,9;2,75;;;;0,0;-6,96;-0,19;11.199,47;3.420.334,95
MATD3;4,63;1,62;-4,36;1,08;-24,8;-8,24;-19,22;29,0;-17,67;-16,83;2,95;4,29;-1,06;941.596,05;1.571.551.755,75
MDIA3;24,40;2,26;14,76;1,04;7,04;4,38;5,46;33,15;7,23;5,76;2,15;23,47;1,65;11.934.864,95;8.271.600.000,00
MDNE3;24,33;5,1;7,39;1,28;17,33;6,63;11,2;33,77;16,55;16,43;2,62;18,98;3,29;16.845.645,23;2.065.845.093,75
MEAL3;1,23;;-4,05;0,36;-8,81;-3,28;2,44;33,38;1,83;-3,92;0,66;3,45;-0,3;261.162,73;352.612.144,20
MELK3;3,41;12,9;12,92;0,65;5,03;2,19;2,05;21,83;6,1;5,4;2,78;5,25;0,26;1.210.704,36;703.378.452,81
MERC3;14,80;;30,92;2,34;7,57;3,77;;72,02;41,75;28,72;;6,32;0,48;0,00;520.465.075,50
MERC4;9,70;;20,27;1,53;7,57;3,77;;72,02;41,75;28,72;;6,32;0,48;0,00;520.465.075,50
