ticker;preco;dy;pvp;valor_patrimonial;liquidez_diaria;percentual_caixa;patrimonio;num_cotistas;gestao
RECM11;8,58;8,51;0,87;9,81;;4,17;;645,0;Ativa
RECR11;86,49;13,57;0,97;89,24;;2,28;;;Ativa
RECT11;32,05;13,49;0,35;90,9;;0,26;;;Ativa
RECX11;67,99;0,88;0,94;72,48;0,0;17,45;;577,0;Ativa
REIT11;85,00;9,09;0,28;300,76;42,5;10,9;;64,0;Ativa
RELG11;73,00;7,41;0,82;89,41;;0,67;;;Ativa
RENV11;6,05;5,8;0,64;9,43;;17,59;;485,0;Ativa
RFOF11;61,70;13,1;0,87;70,68;;2,88;;;Ativa
RINV11;104,88;12,41;1,01;104,07;;0,41;;;Ativa
RMAI11;78,00;8,26;0,73;106,56;;2,63;;;Ativa
RNDP11;40,50;12,52;;0,0;;;0,0;0,0;Ativa
RNGO11;46,49;9,89;0,55;83,9;;1,31;;;Passiva
ROOF11;386,40;0,0;0,93;414,1;;4,72;;80,0;Ativa
RPRI11;86,18;14,45;0,88;98,03;;2,6;;;Ativa
RRCI11;73,75;13,83;0,82;90,35;;11,15;;;Ativa
RSPD11;1.111,00;10,68;1,15;965,83;;0,69;;137,0;Ativa
RTEL11;0,00;0,0;;91,11;;9,65;;546,0;Ativa
RVBI11;65,21;13,42;0,86;75,73;;1,55;;;Ativa
RZAK11;82,24;16,71;0,94;87,31;;3,96;;;Ativa
RZAT11;91,40;13,9;0,9;101,78;;0,09;;;Ativa
RZDM11;550,16;0,0;8,62;63,81;;3,5;;;
RZLC11;1.002,45;10,63;1,01;989,28;;1,74;;114,0;Ativa
RZTR11;94,21;12,9;0,98;96,29;;8,44;;;Ativa
RZZI11;0,00;0,0;;999,33;;1,64;;114,0;
RZZR11;139,20;9,99;0,83;166,88;;0,78;;449,0;Passiva
RZZV11;1.091,45;1,57;1,08;;;1,75;;120,0;
SACL11;0,00;0,0;;63,81;;3,5;;;
SADI11;8,60;13,0;0,89;9,67;;5,01;;;Ativa
SAIC11B;0,00;0,0;;55,74;;0,46;;45,0;Passiva
SALI11;0,00;0,0;;91,19;;6,44;;2,0;Passiva
SAPI11;8,75;13,55;0,88;9,97;;10,36;;;Ativa
SARE11;4,62;6,02;0,6;7,73;;2,97;;;Ativa
SBCL11;0,00;0,0;;0,97;;247,01;;2,0;Ativa
SCPF11;3,00;0,0;0,28;10,61;;0,65;;;Ativa
SEED11;100,00;11,99;1,14;88,09;200,0;1,76;;129,0;Ativa
SEQR11;49,30;14,12;0,53;92,91;;1,62;;;Ativa
SFND11;83,07;0,0;1,3;63,81;;3,5;;;
SFRO11;0,00;0,0;;63,81;;3,5;;;
SHDP11B;0,00;0,0;;;;1,37;;2,0;Passiva
SHOP11;24,50;0,0;0,68;36,12;;1,56;;79,0;Ativa
SHPH11;970,00;8,35;0,95;;;3,84;;;Passiva
SHPP11;10,00;0,0;0,98;10,2;100,0;13,3;;16,0;
SHSO11;0,00;0,0;;63,81;;3,5;;;
SIGR11;99,90;0,0;10,58;9,44;100,0;3,8;;;Ativa
SJAU11;12,50;0,0;0,62;20,08;450,53;1,18;;307,0;Passiva
SLDZ11;0,00;0,0;;-85,58;;;;2,0;Ativa
SMRE11;80,00;15,63;0,79;101,54;;2,12;;;Ativa
SNCI11;90,61;13,24;0,93;97,8;;3,79;;;Ativa
SNEL11;8,48;14,15;1,05;8,08;;3,08;;;Ativa
SNFF11;73,49;13,04;0,87;84,14;;3,59;;;Ativa
SNLG11;0,75;393,89;;-0,11;;;;;Ativa
SNME11;9,65;13,05;1,0;9,69;;1,24;;;Ativa
SOFF11;101,94;0,98;0,99;103,32;;0,09;;1,0;Ativa
SOLR11;1.051,35;0,0;1,12;935,57;0,0;0,94;;53,0;Ativa
SPAF11;0,00;0,0;;979,71;;2,84;;1,0;Ativa
SPDE11;1.266,67;14,65;0,95;;0,0;1,49;;120,0;Ativa
SPGM11;11,38;0,0;1,17;9,71;0,0;4,31;;334,0;Passiva
SPMO11;144,00;0,0;1,07;134,62;0,0;0,0;;12,0;Ativa
SPTW11;36,18;13,88;0,62;58,02;;6,44;;;Passiva
SPVJ11;0,00;0,0;;19,96;;31,72;;25,0;Ativa
SPXC11;0,00;0,0;;63,81;;3,5;;;
SPXG11;0,00;0,0;;9,28;;4,12;;36,0;Ativa
SPXL11;0,00;0,0;;8,79;;4,45;;15,0;Ativa
SPXS11;8,60;13,78;0,91;9,4;;14,9;;;
SRVD11;3,00;0,0;5,56;0,54;;0,0;;106,0;Ativa
STRX11;153,61;6,63;1,08;141,93;153,0;0,99;;109,0;Ativa
SURE11;0,00;0,0;;10,66;;32,19;;1,0;Ativa
TBOF11;15,56;0,0;0,24;63,81;;3,5;;;
TCIN11;145,92;0,0;2,26;64,52;;0,36;;108,0;Ativa
TCPF11;39,53;0,0;0,39;100,76;0,0;4,23;;52,0;Ativa
TELD11;0,00;0,0;;24,31;;0,24;;2,0;Ativa
TELF11;0,00;0,0;;63,81;;3,5;;;
TELM11;10,05;6,33;1,02;9,83;52,5;1,21;;112,0;
