TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AMPY;3,16;;7,88;0,32;0,17;44,90;12,14;5,67;3,68;7,40;3,72;0,33;0,45;-6,96;-0,19;0,76;4,09;2,19;5,82;0,53;0,47;0,39;1,35;;;9,99;0,41;-0,08;129.883.852,00
AMR;113,25;;54,84;0,90;0,61;12,09;1,05;1,01;52,75;36,75;-15,99;-0,27;0,56;1,95;-1,05;3,87;1,65;1,11;1,56;0,67;0,33;1,09;5,25;;;123,72;2,04;-0,57;1.460.727.657,00
AMRB;20,91;;15,15;1,35;0,14;0,00;38,49;27,38;10,78;-23,35;-34,12;-4,27;4,15;;-0,14;;8,90;0,90;8,56;0,10;0,90;0,03;5,07;6,02;;15,51;1,38;0,35;125.261.355,00
AMRC;16,37;;16,05;0,86;0,21;14,31;6,06;2,97;7,87;22,09;14,21;1,55;0,48;1,90;-0,30;1,57;5,36;1,30;3,36;0,24;0,76;0,44;15,34;5,02;;19,24;1,03;-2,22;870.063.544,00
AMRK;22,76;2,65;14,72;0,87;0,26;1,57;0,77;0,35;6,56;7,78;1,23;0,16;0,05;0,89;-1,31;1,56;5,89;1,74;7,60;0,29;0,71;5,03;15,19;98,49;;26,13;1,54;-0,28;558.241.949,00
AMRN;16,93;;-3,96;0,73;0,53;34,85;-38,38;-41,07;-4,23;-0,80;3,43;-0,60;1,62;0,85;-4,21;3,53;-18,56;-13,41;-18,56;0,72;0,28;0,33;-11,86;;;22,88;-4,25;-0,06;347.877.600,00
AMRS;0,05;;-0,03;-0,03;0,03;2,78;-223,15;-229,12;-0,03;-1,59;-1,56;;0,07;-0,08;-0,04;0,52;-92,50;-90,42;-214,15;-0,98;1,94;0,39;16,15;;;-1,80;-1,66;0,00;18.469.280,00
AMRX;8,38;;-200,81;-19,90;0,78;36,69;10,88;-0,46;8,51;16,54;8,02;;0,93;6,03;-1,41;1,40;-9,91;-0,39;11,74;-0,04;1,02;0,84;11,43;;;-0,42;-0,04;2,18;2.620.187.856,00
AMSC;39,74;;262,89;8,05;5,11;27,76;1,06;2,71;670,34;636,06;-34,28;-0,41;7,12;14,86;-15,25;2,07;3,06;1,94;-0,66;0,63;0,37;0,72;28,40;;;4,99;0,15;-1,70;1.586.033.405,00
AMSF;43,29;10,38;17,48;3,18;0,72;31,20;19,77;15,76;13,93;12,99;-0,95;-0,22;2,75;;-0,72;;18,20;4,10;18,20;0,23;0,77;0,26;-3,56;-9,77;;13,69;2,49;-0,76;829.450.062,00
AMST;3,11;;-3,62;3,90;3,69;100,00;-4.667,47;-4.667,47;-3,62;-2,86;0,76;-0,82;169,13;4,79;-20,95;14,88;-107,67;-101,71;-107,67;0,94;0,06;0,02;61,93;;;0,79;-0,85;0,51;14.038.189,00
